county,office,district,party,candidate,votes
Atlantic,President,,Democratic,Hillary Rodham Clinton,60924
Atlantic,President,,Republican,Donald J. Trump,52690
Atlantic,President,,Libertarian Party,Gary Johnson,2109
Atlantic,President,,Green Party,Jill Stein,999
Atlantic,President,,Constitution Party,Darrell Castle,264
Atlantic,President,,Workers Party,Alyson Kennedy Socialist,46
Atlantic,President,,American Delta Party,Rocky Roque De la Fuente,56
Atlantic,President,,Workers World Party,Monica Moorehead,57
Atlantic,President,,Socialism and Liberation,Gloria La Riva,146
Bergen,President,,Democratic,Hillary Rodham Clinton,231211
Bergen,President,,Republican,Donald J. Trump,175529
Bergen,President,,Libertarian Party,Gary Johnson,7764
Bergen,President,,Green Party,Jill Stein,3988
Bergen,President,,Constitution Party,Darrell Castle,381
Bergen,President,,Socialist Workers Party,Alyson Kennedy,130
Bergen,President,,American Delta Party,Rocky Roque De la Fuente,148
Bergen,President,,Workers World Party,Monica Moorehead,92
Bergen,President,,Socialism and Liberation,Gloria La Riva,53
Burlington,President,,Democratic,Hillary Rodham Clinton,121725
Burlington,President,,Republican,Donald J. Trump,89272
Burlington,President,,Libertarian Party,Gary Johnson,4946
Burlington,President,,Green Party,Jill Stein,2349
Burlington,President,,Constitution Party,Darrell Castle,351
Burlington,President,,Socialist Workers Party,Alyson Kennedy,32
Burlington,President,,American Delta Party,Rocky Roque De la Fuente,125
Burlington,President,,Workers World Party,Monica Moorehead,45
Burlington,President,,Socialism and Liberation,Gloria La Riva,98
Camden,President,,Democratic,Hillary Rodham Clinton,146717
Camden,President,,Republican,Donald J. Trump,72631
Camden,President,,Libertarian Party,Gary Johnson,4245
Camden,President,,Green Party,Jill Stein,2003
Camden,President,,Constitution Party,Darrell Castle,752
Camden,President,,Socialist Workers Party,Alyson Kennedy,43
Camden,President,,American Delta Party,Rocky Roque De la Fuente,77
Camden,President,,Workers World Party,Monica Moorehead,74
Camden,President,,Socialism and Liberation,Gloria La Riva,50
Cape May,President,,Democratic,Hillary Rodham Clinton,18750
Cape May,President,,Republican,Donald J. Trump,28446
Cape May,President,,Libertarian Party,Gary Johnson,903
Cape May,President,,Green Party,Jill Stein,390
Cape May,President,,Constitution Party,Darrell Castle,167
Cape May,President,,Socialist Workers Party,Alyson Kennedy,10
Cape May,President,,American Delta Party,Rocky Roque De la Fuente,26
Cape May,President,,Workers World Party,Monica Moorehead,20
Cape May,President,,Socialism and Liberation,Gloria La Riva,10
Cumberland,President,,Democratic,Hillary Rodham Clinton,27771
Cumberland,President,,Republican,Donald J. Trump,24453
Cumberland,President,,Libertarian Party,Gary Johnson,1043
Cumberland,President,,Green Party,Jill Stein,489
Cumberland,President,,Constitution Party,Darrell Castle,104
Cumberland,President,,Socialist Workers Party,Alyson Kennedy,31
Cumberland,President,,American Delta Party,Rocky Roque De la Fuente,35
Cumberland,President,,Workers World Party,Monica Moorehead,22
Cumberland,President,,Socialism and Liberation,Gloria La Riva,56
Essex,President,,Democratic,Hillary Rodham Clinton,240837
Essex,President,,Republican,Donald J. Trump,63176
Essex,President,,Libertarian Party,Gary Johnson,3111
Essex,President,,Green Party,Jill Stein,2921
Essex,President,,Constitution Party,Darrell Castle,288
Essex,President,,Socialist Workers Party,Alyson Kennedy,127
Essex,President,,American Delta Party,Rocky Roque De la Fuente,304
Essex,President,,Workers World Party,Monica Moorehead,95
Essex,President,,Socialism and Liberation,Gloria La Riva,75
Gloucester,President,,Democratic,Hillary Rodham Clinton,66870
Gloucester,President,,Republican,Donald J. Trump,67544
Gloucester,President,,Libertarian Party,Gary Johnson,3216
Gloucester,President,,Green Party,Jill Stein,1256
Gloucester,President,,Constitution Party,Darrell Castle,283
Gloucester,President,,Socialist Workers Party,Alyson Kennedy,48
Gloucester,President,,American Delta Party,Rocky Roque De la Fuente,70
Gloucester,President,,Workers World Party,Monica Moorehead,224
Gloucester,President,,Socialism and Liberation,Gloria La Riva,31
Hudson,President,,Democratic,Hillary Rodham Clinton,163917
Hudson,President,,Republican,Donald J. Trump,49043
Hudson,President,,Libertarian Party,Gary Johnson,2922
Hudson,President,,Green Party,Jill Stein,2657
Hudson,President,,Constitution Party,Darrell Castle,182
Hudson,President,,Socialist Workers Party,Alyson Kennedy,113
Hudson,President,,American Delta Party,Rocky Roque De la Fuente,85
Hudson,President,,Workers World Party,Monica Moorehead,109
Hudson,President,,Socialism and Liberation,Gloria La Riva,347
Hunterdon,President,,Democratic,Hillary Rodham Clinton,28898
Hunterdon,President,,Republican,Donald J. Trump,38712
Hunterdon,President,,Libertarian Party,Gary Johnson,2213
Hunterdon,President,,Green Party,Jill Stein,805
Hunterdon,President,,Constitution Party,Darrell Castle,94
Hunterdon,President,,Socialist Workers Party,Alyson Kennedy,15
Hunterdon,President,,American Delta Party,Rocky Roque De la Fuente,26
Hunterdon,President,,Workers World Party,Monica Moorehead,19
Hunterdon,President,,Socialism and Liberation,Gloria La Riva,54
Mercer,President,,Democratic,Hillary Rodham Clinton,104775
Mercer,President,,Republican,Donald J. Trump,46193
Mercer,President,,Libertarian Party,Gary Johnson,3267
Mercer,President,,Green Party,Jill Stein,1677
Mercer,President,,Constitution Party,Darrell Castle,207
Mercer,President,,Socialist Workers Party,Alyson Kennedy,61
Mercer,President,,American Delta Party,Rocky Roque De la Fuente,142
Mercer,President,,Workers World Party,Monica Moorehead,169
Mercer,President,,Socialism and Liberation,Gloria La Riva,38
Middlesex,President,,Democratic,Hillary Rodham Clinton,193044
Middlesex,President,,Republican,Donald J. Trump,122953
Middlesex,President,,Libertarian Party,Gary Johnson,5446
Middlesex,President,,Green Party,Jill Stein,3452
Middlesex,President,,Constitution Party,Darrell Castle,368
Middlesex,President,,Socialist Workers Party,Alyson Kennedy,436
Middlesex,President,,American Delta Party,Rocky Roque De la Fuente,146
Middlesex,President,,Workers World Party,Monica Moorehead,167
Middlesex,President,,Socialism and Liberation,Gloria La Riva,90
Monmouth,President,,Democratic,Hillary Rodham Clinton,137181
Monmouth,President,,Republican,Donald J. Trump,166723
Monmouth,President,,Libertarian Party,Gary Johnson,6388
Monmouth,President,,Green Party,Jill Stein,3189
Monmouth,President,,Constitution Party,Darrell Castle,287
Monmouth,President,,Socialist Workers Party,Alyson Kennedy,103
Monmouth,President,,American Delta Party,Rocky Roque De la Fuente,104
Monmouth,President,,Workers World Party,Monica Moorehead,341
Monmouth,President,,Socialism and Liberation,Gloria La Riva,61
Morris,President,,Democratic,Hillary Rodham Clinton,115249
Morris,President,,Republican,Donald J. Trump,126071
Morris,President,,Libertarian Party,Gary Johnson,5943
Morris,President,,Green Party,Jill Stein,2532
Morris,President,,Constitution Party,Darrell Castle,334
Morris,President,,Socialist Workers Party,Alyson Kennedy,75
Morris,President,,American Delta Party,Rocky Roque De la Fuente,119
Morris,President,,Workers World Party,Monica Moorehead,59
Morris,President,,Socialism and Liberation,Gloria La Riva,34
Ocean,President,,Democratic,Hillary Rodham Clinton,87150
Ocean,President,,Republican,Donald J. Trump,179079
Ocean,President,,Libertarian Party,Gary Johnson,4867
Ocean,President,,Green Party,Jill Stein,2122
Ocean,President,,Constitution Party,Darrell Castle,937
Ocean,President,,Socialist Workers Party,Alyson Kennedy,92
Ocean,President,,American Delta Party,Rocky Roque De la Fuente,39
Ocean,President,,Workers World Party,Monica Moorehead,19
Ocean,President,,Socialism and Liberation,Gloria La Riva,57
Passaic,President,,Democratic,Hillary Rodham Clinton,116759
Passaic,President,,Republican,Donald J. Trump,72902
Passaic,President,,Libertarian Party,Gary Johnson,2541
Passaic,President,,Green Party,Jill Stein,1948
Passaic,President,,Constitution Party,Darrell Castle,212
Passaic,President,,Socialist Workers Party,Alyson Kennedy,61
Passaic,President,,American Delta Party,Rocky Roque De la Fuente,83
Passaic,President,,Workers World Party,Monica Moorehead,54
Passaic,President,,Socialism and Liberation,Gloria La Riva,242
Salem,President,,Democratic,Hillary Rodham Clinton,11904
Salem,President,,Republican,Donald J. Trump,16381
Salem,President,,Libertarian Party,Gary Johnson,862
Salem,President,,Green Party,Jill Stein,238
Salem,President,,Constitution Party,Darrell Castle,72
Salem,President,,Socialist Workers Party,Alyson Kennedy,10
Salem,President,,American Delta Party,Rocky Roque De la Fuente,6
Salem,President,,Workers World Party,Monica Moorehead,16
Salem,President,,Socialism and Liberation,Gloria La Riva,5
Somerset,President,,Democratic,Hillary Rodham Clinton,85689
Somerset,President,,Republican,Donald J. Trump,65505
Somerset,President,,Libertarian Party,Gary Johnson,3776
Somerset,President,,Green Party,Jill Stein,1568
Somerset,President,,Constitution Party,Darrell Castle,206
Somerset,President,,Socialist Workers Party,Alyson Kennedy,193
Somerset,President,,American Delta Party,Rocky Roque De la Fuente,80
Somerset,President,,Workers World Party,Monica Moorehead,40
Somerset,President,,Socialism and Liberation,Gloria La Riva,35
Sussex,President,,Democratic,Hillary Rodham Clinton,24212
Sussex,President,,Republican,Donald J. Trump,46658
Sussex,President,,Libertarian Party,Gary Johnson,2026
Sussex,President,,Green Party,Jill Stein,845
Sussex,President,,Constitution Party,Darrell Castle,248
Sussex,President,,Socialist Workers Party,Alyson Kennedy,29
Sussex,President,,American Delta Party,Rocky Roque De la Fuente,46
Sussex,President,,Workers World Party,Monica Moorehead,40
Sussex,President,,Socialism and Liberation,Gloria La Riva,22
Union,President,,Democratic,Hillary Rodham Clinton,147414
Union,President,,Republican,Donald J. Trump,68114
Union,President,,Libertarian Party,Gary Johnson,3628
Union,President,,Green Party,Jill Stein,1779
Union,President,,Constitution Party,Darrell Castle,311
Union,President,,Socialist Workers Party,Alyson Kennedy,450
Union,President,,American Delta Party,Rocky Roque De la Fuente,91
Union,President,,Workers World Party,Monica Moorehead,39
Union,President,,Socialism and Liberation,Gloria La Riva,149
Warren,President,,Democratic,Hillary Rodham Clinton,17281
Warren,President,,Republican,Donald J. Trump,29858
Warren,President,,Libertarian Party,Gary Johnson,1261
Warren,President,,Green Party,Jill Stein,565
Warren,President,,Constitution Party,Darrell Castle,113
Warren,President,,Socialist Workers Party,Alyson Kennedy,51
Warren,President,,American Delta Party,Rocky Roque De la Fuente,30
Warren,President,,Workers World Party,Monica Moorehead,48
Warren,President,,Socialism and Liberation,Gloria La Riva,29
Burlington,U.S. House,1,Democratic,Donald W. Norcross,6000
Burlington,U.S. House,1,Republican,Bob Patterson,4009
Burlington,U.S. House,1,AmericanIndependents.org,Michael Berman,135
Burlington,U.S. House,1,Libertarian Party,William F. Sihr IV,95
Burlington,U.S. House,1,We Deserve Better,Scot John Tomaszewski,63
Camden,U.S. House,1,Democratic,Donald W. Norcross,130159
Camden,U.S. House,1,Republican,Bob Patterson,69503
Camden,U.S. House,1,AmericanIndependents.org,Michael Berman,965
Camden,U.S. House,1,Libertarian Party,William F. Sihr IV,1632
Camden,U.S. House,1,We Deserve Better,Scot John Tomaszewski,3577
Gloucester,U.S. House,1,Democratic,Donald W. Norcross,47072
Gloucester,U.S. House,1,Republican,Bob Patterson,38876
Gloucester,U.S. House,1,AmericanIndependents.org,Michael Berman,871
Gloucester,U.S. House,1,Libertarian Party,William F. Sihr IV,683
Gloucester,U.S. House,1,We Deserve Better,Scot John Tomaszewski,1833
Atlantic,U.S. House,2,Republican,Frank A. LoBiondo,59858
Atlantic,U.S. House,2,Democratic,David H. Cole,45898
Atlantic,U.S. House,2,People's Independent Progressive,Eric Beechwood,242
Atlantic,U.S. House,2,Representing the 99%,Steven Fenichel,712
Atlantic,U.S. House,2,For Political,Gabriel Brian Franco,392
Atlantic,U.S. House,2,Make Government Work,James Keenan,1084
Atlantic,U.S. House,2,Libertarian Party,John Ordille,1488
Burlington,U.S. House,2,Republican,Frank A. LoBiondo,720
Burlington,U.S. House,2,Democratic,David H. Cole,233
Burlington,U.S. House,2,People's Independent Progressive,Eric Beechwood,5
Burlington,U.S. House,2,Representing the 99%,Steven Fenichel,2
Burlington,U.S. House,2,For Political,Gabriel Brian Franco,2
Burlington,U.S. House,2,Make Government Work,James Keenan,4
Burlington,U.S. House,2,Libertarian Party,John Ordille,14
Camden,U.S. House,2,Republican,Frank A. LoBiondo,2990
Camden,U.S. House,2,Democratic,David H. Cole,1723
Camden,U.S. House,2,People's Independent Progressive,Eric Beechwood,12
Camden,U.S. House,2,Representing the 99%,Steven Fenichel,15
Camden,U.S. House,2,For Political,Gabriel Brian Franco,13
Camden,U.S. House,2,Make Government Work,James Keenan,34
Camden,U.S. House,2,Libertarian Party,John Ordille,50
Cape May,U.S. House,2,Republican,Frank A. LoBiondo,29796
Cape May,U.S. House,2,Democratic,David H. Cole,12949
Cape May,U.S. House,2,People's Independent Progressive,Eric Beechwood,172
Cape May,U.S. House,2,Representing the 99%,Steven Fenichel,253
Cape May,U.S. House,2,For Political,Gabriel Brian Franco,115
Cape May,U.S. House,2,Make Government Work,James Keenan,448
Cape May,U.S. House,2,Libertarian Party,John Ordille,397
Cumberland,U.S. House,2,Republican,Frank A. LoBiondo,26837
Cumberland,U.S. House,2,Democratic,David H. Cole,19482
Cumberland,U.S. House,2,People's Independent Progressive,Eric Beechwood,448
Cumberland,U.S. House,2,Representing the 99%,Steven Fenichel,167
Cumberland,U.S. House,2,For Political,Gabriel Brian Franco,339
Cumberland,U.S. House,2,Make Government Work,James Keenan,190
Cumberland,U.S. House,2,Libertarian Party,John Ordille,791
Gloucester,U.S. House,2,Republican,Frank A. LoBiondo,24318
Gloucester,U.S. House,2,Democratic,David H. Cole,15441
Gloucester,U.S. House,2,People's Independent Progressive,Eric Beechwood,272
Gloucester,U.S. House,2,Representing the 99%,Steven Fenichel,160
Gloucester,U.S. House,2,For Political,Gabriel Brian Franco,162
Gloucester,U.S. House,2,Make Government Work,James Keenan,164
Gloucester,U.S. House,2,Libertarian Party,John Ordille,357
Ocean,U.S. House,2,Republican,Frank A. LoBiondo,13268
Ocean,U.S. House,2,Democratic,David H. Cole,5882
Ocean,U.S. House,2,People's Independent Progressive,Eric Beechwood,86
Ocean,U.S. House,2,Representing the 99%,Steven Fenichel,45
Ocean,U.S. House,2,For Political,Gabriel Brian Franco,70
Ocean,U.S. House,2,Make Government Work,James Keenan,352
Ocean,U.S. House,2,Libertarian Party,John Ordille,231
Salem,U.S. House,2,Republican,Frank A. LoBiondo,18551
Salem,U.S. House,2,Democratic,David H. Cole,9230
Salem,U.S. House,2,People's Independent Progressive,Eric Beechwood,150
Salem,U.S. House,2,Representing the 99%,Steven Fenichel,220
Salem,U.S. House,2,For Political,Gabriel Brian Franco,139
Salem,U.S. House,2,Make Government Work,James Keenan,377
Salem,U.S. House,2,Libertarian Party,John Ordille,445
Burlington,U.S. House,3,Republican,Tom MacArthur,99449
Burlington,U.S. House,3,Democratic,Frederick John LaVergne,85760
Burlington,U.S. House,3,Constitution Party,Lawrence W. Berlinski Jr.,2399
Ocean,U.S. House,3,Republican,Tom MacArthur,95147
Ocean,U.S. House,3,Democratic,Frederick John LaVergne,41766
Ocean,U.S. House,3,Constitution Party,Lawrence W. Berlinski Jr.,3539
Mercer,U.S. House,4,Republican,Christopher H. Smith,27988
Mercer,U.S. House,4,Democratic,Lorna Phillipson,18382
Mercer,U.S. House,4,Libertarian Party,Jeremy Marcus,487
Mercer,U.S. House,4,Economic Growth,Hank Schroeder,145
Monmouth,U.S. House,4,Republican,Christopher H. Smith,121856
Monmouth,U.S. House,4,Democratic,Lorna Phillipson,71105
Monmouth,U.S. House,4,Libertarian Party,Jeremy Marcus,1862
Monmouth,U.S. House,4,Economic Growth,Hank Schroeder,4227
Ocean,U.S. House,4,Republican,Christopher H. Smith,62148
Ocean,U.S. House,4,Democratic,Lorna Phillipson,22045
Ocean,U.S. House,4,Libertarian Party,Jeremy Marcus,971
Ocean,U.S. House,4,Economic Growth,Hank Schroeder,1468
Bergen,U.S. House,5,Democratic,Joshua S. Gottheimer,135681
Bergen,U.S. House,5,Republican,Scott Garrett,101859
Bergen,U.S. House,5,Libertarian Party,Claudio Belusic,3985
Passaic,U.S. House,5,Democratic,Joshua S. Gottheimer,7449
Passaic,U.S. House,5,Republican,Scott Garrett,9962
Passaic,U.S. House,5,Libertarian Party,Claudio Belusic,387
Sussex,U.S. House,5,Democratic,Joshua S. Gottheimer,17880
Sussex,U.S. House,5,Republican,Scott Garrett,28117
Sussex,U.S. House,5,Libertarian Party,Claudio Belusic,2173
Warren,U.S. House,5,Democratic,Joshua S. Gottheimer,11577
Warren,U.S. House,5,Republican,Scott Garrett,17752
Warren,U.S. House,5,Libertarian Party,Claudio Belusic,879
Middlesex,U.S. House,6,Democratic,Frank Pallone Jr.,116600
Middlesex,U.S. House,6,Republican,Brent Sonnek-Schmelz,50849
Middlesex,U.S. House,6,Green Party,Rajit B. Malliah,1196
Middlesex,U.S. House,6,Libertarian Party,Judith Shamy,1065
Monmouth,U.S. House,6,Democratic,Frank Pallone Jr.,51295
Monmouth,U.S. House,6,Republican,Brent Sonnek-Schmelz,41059
Monmouth,U.S. House,6,Green Party,Rajit B. Malliah,716
Monmouth,U.S. House,6,Libertarian Party,Judith Shamy,655
Essex,U.S. House,7,Republican,Leonard Lance,3765
Essex,U.S. House,7,Democratic,Peter Jacob,5022
Essex,U.S. House,7,Libertarian Party,Dan O'Neill,77
Essex,U.S. House,7,Conservative Party,Arthur T. Haussmann Jr.,70
Hunterdon,U.S. House,7,Republican,Leonard Lance,40529
Hunterdon,U.S. House,7,Democratic,Peter Jacob,23614
Hunterdon,U.S. House,7,Libertarian Party,Dan O'Neill,2096
Hunterdon,U.S. House,7,Conservative Party,Arthur T. Haussmann Jr.,1397
Morris,U.S. House,7,Republican,Leonard Lance,30116
Morris,U.S. House,7,Democratic,Peter Jacob,21297
Morris,U.S. House,7,Libertarian Party,Dan O'Neill,904
Morris,U.S. House,7,Conservative Party,Arthur T. Haussmann Jr.,219
Somerset,U.S. House,7,Republican,Leonard Lance,59306
Somerset,U.S. House,7,Democratic,Peter Jacob,50316
Somerset,U.S. House,7,Libertarian Party,Dan O'Neill,1214
Somerset,U.S. House,7,Conservative Party,Arthur T. Haussmann Jr.,1558
Union,U.S. House,7,Republican,Leonard Lance,43056
Union,U.S. House,7,Democratic,Peter Jacob,42417
Union,U.S. House,7,Libertarian Party,Dan O'Neill,659
Union,U.S. House,7,Conservative Party,Arthur T. Haussmann Jr.,790
Warren,U.S. House,7,Republican,Leonard Lance,9078
Warren,U.S. House,7,Democratic,Peter Jacob,5522
Warren,U.S. House,7,Libertarian Party,Dan O'Neill,393
Warren,U.S. House,7,Conservative Party,Arthur T. Haussmann Jr.,220
Bergen,U.S. House,8,Democratic,Albio Sires,2156
Bergen,U.S. House,8,Republican,Agha Khan,748
Bergen,U.S. House,8,Wake Up America,Pablo Olivera,46
Bergen,U.S. House,8,Libertarian Party,Dan Delaney,56
Essex,U.S. House,8,Democratic,Albio Sires,24465
Essex,U.S. House,8,Republican,Agha Khan,5057
Essex,U.S. House,8,Wake Up America,Pablo Olivera,1251
Essex,U.S. House,8,Libertarian Party,Dan Delaney,293
Hudson,U.S. House,8,Democratic,Albio Sires,89305
Hudson,U.S. House,8,Republican,Agha Khan,23069
Hudson,U.S. House,8,Wake Up America,Pablo Olivera,2527
Hudson,U.S. House,8,Libertarian Party,Dan Delaney,2890
Union,U.S. House,8,Democratic,Albio Sires,18807
