candidate,office,district,party,county,precinct,votes
,Registered Voters,,D,Camden,Audubon Boro Dist 1,315
,Ballots Cast,,D,Camden,Audubon Boro Dist 1,88
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Boro Dist 1,43
Robert Menendez,U.S. Senate,,D,Camden,Audubon Boro Dist 1,38
Donald W Norcross,U.S. House,1,D,Camden,Audubon Boro Dist 1,63
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Boro Dist 1,6
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Boro Dist 1,13
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Boro Dist 1,
William Cunningham,U.S. House,2,D,Camden,Audubon Boro Dist 1,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Boro Dist 1,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Boro Dist 1,
,Registered Voters,,D,Camden,Audubon Boro Dist 2,231
,Ballots Cast,,D,Camden,Audubon Boro Dist 2,44
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Boro Dist 2,19
Robert Menendez,U.S. Senate,,D,Camden,Audubon Boro Dist 2,19
Donald W Norcross,U.S. House,1,D,Camden,Audubon Boro Dist 2,32
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Boro Dist 2,5
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Boro Dist 2,2
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Boro Dist 2,
William Cunningham,U.S. House,2,D,Camden,Audubon Boro Dist 2,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Boro Dist 2,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Boro Dist 2,
,Registered Voters,,D,Camden,Audubon Boro Dist 3,466
,Ballots Cast,,D,Camden,Audubon Boro Dist 3,92
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Boro Dist 3,41
Robert Menendez,U.S. Senate,,D,Camden,Audubon Boro Dist 3,43
Donald W Norcross,U.S. House,1,D,Camden,Audubon Boro Dist 3,77
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Boro Dist 3,6
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Boro Dist 3,6
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Boro Dist 3,
William Cunningham,U.S. House,2,D,Camden,Audubon Boro Dist 3,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Boro Dist 3,
Nate Kleinman,U.S. House,2,D,Camden,Audubon Boro Dist 3,
,Registered Voters,,D,Camden,Audubon Boro Dist 4,258
,Ballots Cast,,D,Camden,Audubon Boro Dist 4,40
Lisa A MC Cormick,U.S. Senate,,D,Camden,Audubon Boro Dist 4,20
Robert Menendez,U.S. Senate,,D,Camden,Audubon Boro Dist 4,16
Donald W Norcross,U.S. House,1,D,Camden,Audubon Boro Dist 4,31
Scot John Tomaszewski,U.S. House,1,D,Camden,Audubon Boro Dist 4,1
Robert Lee Carlson,U.S. House,1,D,Camden,Audubon Boro Dist 4,4
Jeff Van Drew,U.S. House,2,D,Camden,Audubon Boro Dist 4,
William Cunningham,U.S. House,2,D,Camden,Audubon Boro Dist 4,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Audubon Boro Dist 4,
